;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;"Alle Informationen der bis Dezember 2021 verwendeten Methoden und Imputationen finden sich auf der Hauptseite des (H)VPI unter ""Dokumentationen""/ ""weiterführende Dokumentationen"". ";;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
DIREKTION VOLKSWIRTSCHAFT - PREISSTATISTIK;;;;;;;;;;;;;;;;;;;
Verbraucherpreisindex - Basis 2020;;;;;https://www.statistik.at/statistiken/volkswirtschaft-und-oeffentliche-finanzen/preise-und-preisindizes/verbraucherpreisindex-vpi/hvpi;;;;;;;;;;;;;;
Indexstände, Veränderungsraten und Einfluss-Ergebnisse nach COICOP-Klassifikation;;;;;;;;;;;;;;;;;;;
sowie für ausgewählte Waren und Dienstleistungen;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
COICOP 1)-Aggregat;Warencode neu;Aggregats-ebene;Warencode alt;VPI-Positionen;Gewicht für 2022;Indexstand im…;;%-Veränderung gegenüber …;;Einfluss 4) auf Veränderung zu…;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;August 2);Juli 3);Juli;August;Juli;August;;;;;;;;
;;;;;;2022;2022;2022;2021;2022;2021;;;;;;;;
;;;;;;;;;;;;;;;;;;;
0;;0;;Gesamt-Index Österreich;100,00000;112,6;112,6;0,0;9,3;-0,007;9,300;;;;;;;;
01;;1;;NAHRUNGSMITTEL UND ALKOHOLFREIE GETRÄNKE;11,34582;114,0;112,9;1,0;13,1;0,118;1,494;;;;;;;;
011;;2;;Nahrungsmittel;10,12065;114,0;112,8;1,1;13,0;0,109;1,320;;;;;;;;
0111;;3;;Brot und Getreideerzeugnisse;2,04449;113,5;112,3;1,1;12,8;0,022;0,259;;;;;;;;
01111;;4;;Reis;0,05225;106,0;103,6;2,3;7,6;0,001;0,004;;;;;;;;
011110;001900;7;0103;Langkornreis;0,05225;106,0;103,6;2,3;7,6;0,001;0,004;;;;;;;;
01112;;4;;Mehl und andere Getreideerzeugnisse;0,10348;136,4;134,2;1,6;39,8;0,002;0,038;;;;;;;;
011120;002000;7;0106;Weizenmehl;0,10348;136,4;134,2;1,6;39,8;0,002;0,038;;;;;;;;
01113;;4;;Brot;0,96871;113,1;113,2;-0,1;11,3;-0,002;0,109;;;;;;;;
011130;000600;7;0073;Mischbrot;0,21850;114,8;115,3;-0,4;11,9;-0,001;0,026;;;;;;;;
011130;000700;7;0074;Spezialbrot;0,12822;111,0;110,8;0,2;8,2;0,000;0,010;;;;;;;;
011130;000800;7;0075;Weißbrot;0,15435;118,4;118,8;-0,3;15,3;-0,001;0,024;;;;;;;;
011130;000900;7;0076;Semmel;0,14343;112,4;112,1;0,3;9,8;0,000;0,014;;;;;;;;
011130;001000;7;0077;Gebäck;0,21840;110,2;110,2;0,0;9,7;0,000;0,021;;;;;;;;
011130;001100;7;0078;Weckerl zum Fertigbacken;0,05219;111,0;111,6;-0,5;13,6;0,000;0,007;;;;;;;;
011130;001110;7;1042;Laugengebäck;0,05362;113,5;113,3;0,2;12,3;0,000;0,007;;;;;;;;
01114;;4;;Andere Backwaren;0,56329;112,9;109,6;3,0;10,7;0,016;0,061;;;;;;;;
011140;000200;7;0043;Süße Knödel, tiefgekühlt;0,01786;121,1;119,4;1,4;19,7;0,000;0,004;;;;;;;;
011140;001500;7;0087;Kekse mit Schokoladeanteil;0,05580;102,3;99,7;2,6;7,9;0,001;0,004;;;;;;;;
011140;001550;7;1037;Kuchen/ Roulade/ Striezel;0,09116;111,1;109,9;1,1;10,4;0,001;0,010;;;;;;;;
011140;001600;7;0088;Haselnussschnitten;0,03570;111,1;108,4;2,5;8,7;0,001;0,003;;;;;;;;
011140;001700;7;0089;Salzstäbchen;0,01904;115,6;114,9;0,6;11,3;0,000;0,002;;;;;;;;
011140;002300;7;0190;Gebäck mit süßer Füllung;0,23867;114,6;113,6;0,9;10,6;0,002;0,025;;;;;;;;
011140;002400;7;0191;Topfengolatsche;0,10506;111,7;100,4;11,3;11,6;0,011;0,012;;;;;;;;
01115;;4;;Pizza und Quiche;0,07204;115,1;112,6;2,2;16,9;0,002;0,012;;;;;;;;
011150;000100;7;0042;Pizza, tiefgekühlt;0,07204;115,1;112,6;2,2;16,9;0,002;0,012;;;;;;;;
01116;;4;;Teigwaren und Couscous;0,17290;114,1;113,1;0,9;16,1;0,002;0,026;;;;;;;;
011160;000300;7;0045;Fertiggericht, tiefgekühlt;0,04952;111,5;109,5;1,8;12,3;0,001;0,006;;;;;;;;
011160;002100;7;0107;Teigwaren;0,12338;115,2;114,6;0,5;17,9;0,001;0,020;;;;;;;;
01117;;4;;Frühstückscerealien;0,07862;104,6;104,5;0,1;6,8;0,000;0,005;;;;;;;;
011170;001400;7;0086;Müsli;0,07862;104,6;104,5;0,1;6,8;0,000;0,005;;;;;;;;
01118;;4;;Andere Getreideerzeugnisse;0,03320;109,8;108,1;1,6;13,1;0,001;0,004;;;;;;;;
011180;001200;7;1041;Fertigteig;0,03320;109,8;108,1;1,6;13,1;0,001;0,004;;;;;;;;
0112;;3;;Fleisch, Fleischwaren;2,32489;116,1;115,2;0,8;14,3;0,017;0,338;;;;;;;;
01121;;4;;Rind- und Kalbfleisch;0,31695;110,4;108,1;2,1;10,3;0,007;0,033;;;;;;;;
011210;002500;7;0011;Kalbsschnitzel;0,02666;100,2;98,0;2,2;-3,7;0,001;-0,001;;;;;;;;
011210;003100;7;0001;Rindfleisch, Gulasch;0,10966;115,5;113,3;1,9;13,8;0,002;0,015;;;;;;;;
011210;003200;7;0002;Rindsschnitzelfleisch;0,10059;106,8;103,1;3,6;5,0;0,004;0,006;;;;;;;;
011210;003300;7;0003;Rind-Suppenfleisch;0,08004;119,5;118,9;0,5;17,5;0,000;0,014;;;;;;;;
01122;;4;;Schweinefleisch;0,34612;113,1;111,7;1,3;12,4;0,003;0,044;;;;;;;;
011220;003500;7;0006;Bauchfleisch;0,03690;115,4;114,3;1,0;12,5;0,000;0,005;;;;;;;;
011220;003600;7;0007;Schopfbraten;0,07759;109,1;108,6;0,5;8,3;0,000;0,007;;;;;;;;
