prod_name,prod_size,prod_infl_aug,prod_infl_jul,prod_infl_change_aug,prod_infl_change_jul,prod_scat,prod_cat,prod_id,prod_sum
﻿NAHRUNGSMITTEL UND ALKOHOLFREIE GETRÄNKE,11.35,114.00,112.90,1.00,44574.00,1,1,2,2
Nahrungsmittel,10.12,114.00,112.80,44562.00,13.00,1,1,3,3
Brot und Getreideerzeugnisse,2.04,113.50,112.30,44562.00,44785.00,1,1,4,4
Langkornreis,0.05,106.00,103.60,44622.00,44719.00,1,1,1900,0
Weizenmehl,0.10,136.40,134.20,44713.00,39.80,1,1,2000,0
Mischbrot,0.22,114.80,115.30,-0.40,44815.00,1,1,600,0
Spezialbrot,0.13,111.00,110.80,0.20,44600.00,1,1,700,0
Weißbrot,0.15,118.40,118.80,-0.30,44635.00,1,1,800,0
Semmel,0.14,112.40,112.10,0.30,44782.00,1,1,900,0
Gebäck,0.22,110.20,110.20,0.00,44751.00,1,1,1000,0
Weckerl zum Fertigbacken,0.05,111.00,111.60,-0.50,44725.00,1,1,1100,0
Laugengebäck,0.05,113.50,113.30,0.20,44632.00,1,1,1110,0
Süße Knödel. tiefgekühlt,0.02,121.10,119.40,44652.00,44761.00,1,1,200,0
Kekse mit Schokoladeanteil,0.06,102.30,99.70,44714.00,44811.00,1,1,1500,0
Kuchen/ Roulade/ Striezel,0.09,111.10,109.90,44562.00,44661.00,1,1,1550,0
Haselnussschnitten,0.04,111.10,108.40,44683.00,44750.00,1,1,1600,0
Salzstäbchen,0.02,115.60,114.90,0.60,44631.00,1,1,1700,0
Gebäck mit süßer Füllung,0.24,114.60,113.60,0.90,44722.00,1,1,2300,0
Topfengolatsche,0.11,111.70,100.40,44631.00,44723.00,1,1,2400,0
Pizza. tiefgekühlt,0.07,115.10,112.60,44594.00,44820.00,1,1,101,0
Fertiggericht. tiefgekühlt,0.05,111.50,109.50,44774.00,44632.00,1,1,300,0
Teigwaren,0.12,115.20,114.60,0.50,44821.00,1,1,2100,0
Müsli,0.08,104.60,104.50,0.10,44779.00,1,1,1400,0
Fertigteig,0.03,109.80,108.10,44713.00,44574.00,1,1,1200,0
Fleisch. Fleischwaren,2.32,116.10,115.20,0.80,44634.00,1,1,5,4
Kalbsschnitzel,0.03,100.20,98.00,44594.00,-3.70,1,1,2500,0
Rindfleisch. Gulasch,0.11,115.50,113.30,44805.00,44786.00,1,1,3100,0
Rindsschnitzelfleisch,0.10,106.80,103.10,44715.00,5.00,1,1,3200,0
Rind-Suppenfleisch,0.08,119.50,118.90,0.50,44698.00,1,1,3300,0
